2013-10-19 19:36:34 Debug: [0.022775] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\SlowController.php:13
2013-10-19 19:36:34 Debug: [0.207840] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:21
2013-10-19 19:36:43 Debug: [0.000000] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:14
2013-10-19 19:36:43 Debug: [0.004394] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\SlowController.php:11
2013-10-19 19:36:43 Debug: [5.019076] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\SlowController.php:13
2013-10-19 19:36:43 Debug: [5.119025] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:21
2013-10-19 19:36:48 Debug: [0.000000] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:14
2013-10-19 19:36:48 Debug: [0.005490] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\SlowController.php:11
2013-10-19 19:36:48 Debug: [0.018428] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\SlowController.php:13
2013-10-19 19:36:48 Debug: [0.110851] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:21
2013-10-19 19:36:55 Debug: [0.000000] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:14
2013-10-19 19:36:55 Debug: [0.004326] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\SlowController.php:11
2013-10-19 19:36:55 Debug: [5.017678] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\SlowController.php:13
2013-10-19 19:36:55 Debug: [5.132982] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:21
2013-10-19 19:42:36 Debug: [0.000000] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:14
2013-10-19 19:42:36 Debug: [1.211339] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:21
2013-10-19 19:42:39 Debug: [0.000000] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:14
2013-10-19 19:42:39 Debug: [1.183359] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:21
2013-10-19 19:42:42 Debug: [0.000000] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:14
2013-10-19 19:42:42 Debug: [1.187903] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:21
2013-10-19 19:42:45 Debug: [0.000000] E:\ProgramFiles\xampp\htdocs\cakephp\app\Controller\Component\BenchmarkComponent.php:14
